Nombrebeca,Institucion,Aniobecariosconfirmados,Departamento,Carrera,Modalidad,Estrato Socioeconomico,Migracion
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Según modalidad,Ordinaria,Variable según modalidad,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Según modalidad,Ordinaria,Variable según modalidad,Internacional
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Según modalidad,Vraem,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional Santiago Antúnez de Mayolo,2025,Huaraz,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,EIB,Variable,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,Protección,Variable,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,CNA y PA,Variable,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,FF.AA.,Variable,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Todas las carreras elegibles,Repared,Víctimas de violencia,Posible migración
Beca 18,Universidad Nacional de la Amazonía Peruana,2025,Iquitos,Según modalidad,Ordinaria,Variable según modalidad,Posible migración
