NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,Estrato_socioeconomico,TipoUniversidad,Estado,Quintil,NotaMinima,Fuente,TipoInstitucion,Region,CodigoBeca,Ubicacion,Categoria,Cobertura,URL_Oficial,Migracion
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Pública,Licenciada,4.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,EIB,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Protección,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,CNA y PA,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,FF.AA.,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Pública,Licenciada,4.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Privada,Licenciada,2.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Privada,Licenciada,2.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Privada,Licenciada,2.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,EIB,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Protección,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,CNA y PA,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,FF.AA.,Variable,Privada,Licenciada,2.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Continental,2025,Huancayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Privada,Licenciada,2.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Privada,Licenciada,1.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Privada,Licenciada,1.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Privada,Licenciada,1.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,EIB,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,Protección,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,CNA y PA,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Peruana Los Andes,2025,Huancayo,Todas las carreras elegibles,FF.AA.,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
