NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,EstratoSocioeconomico,Migracion,CantidadBecarios,TipoBeneficio,MontoDesembolsado
Crédito 18,Diversas,2021,Arequipa,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,9350.0
Crédito 18,Diversas,2021,Amazonas,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,0.0
Crédito 18,Diversas,2021,Ucayali,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,1737.0
Crédito 18,Diversas,2021,Apurímac,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,1737.0
Crédito 18,Diversas,2021,La Libertad,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,17553.0
Crédito 18,Diversas,2021,Total,Diversas,Crédito Educativo,No especificado,No especificado,227,Crédito,2483604.0
Crédito Continuidad,Diversas,2021,Lima,Diversas,Crédito Educativo,No especificado,No especificado,1286,Crédito,12217260.0
Crédito Continuidad,Diversas,2021,Arequipa,Diversas,Crédito Educativo,No especificado,No especificado,149,Crédito,906087.0
Crédito Continuidad,Diversas,2021,Cusco,Diversas,Crédito Educativo,No especificado,No especificado,136,Crédito,841207.0
Crédito Continuidad,Diversas,2021,Junín,Diversas,Crédito Educativo,No especificado,No especificado,93,Crédito,614942.0
Crédito Continuidad,Diversas,2021,Callao,Diversas,Crédito Educativo,No especificado,No especificado,70,Crédito,685667.0
Crédito Continuidad,Diversas,2021,La Libertad,Diversas,Crédito Educativo,No especificado,No especificado,70,Crédito,387243.0
Crédito Continuidad,Diversas,2021,Puno,Diversas,Crédito Educativo,No especificado,No especificado,58,Crédito,322358.0
Crédito Continuidad,Diversas,2021,Áncash,Diversas,Crédito Educativo,No especificado,No especificado,55,Crédito,314270.0
Crédito Continuidad,Diversas,2021,Lambayeque,Diversas,Crédito Educativo,No especificado,No especificado,53,Crédito,269988.0
Crédito Continuidad,Diversas,2021,Piura,Diversas,Crédito Educativo,No especificado,No especificado,52,Crédito,321715.0
Crédito Continuidad,Diversas,2021,Cajamarca,Diversas,Crédito Educativo,No especificado,No especificado,47,Crédito,173884.0
Crédito Continuidad,Diversas,2021,Tacna,Diversas,Crédito Educativo,No especificado,No especificado,44,Crédito,283576.0
Crédito Continuidad,Diversas,2021,Ayacucho,Diversas,Crédito Educativo,No especificado,No especificado,37,Crédito,219557.0
Crédito Continuidad,Diversas,2021,San Martín,Diversas,Crédito Educativo,No especificado,No especificado,35,Crédito,205093.0
Crédito Continuidad,Diversas,2021,Apurímac,Diversas,Crédito Educativo,No especificado,No especificado,29,Crédito,143001.0
Crédito Continuidad,Diversas,2021,Ica,Diversas,Crédito Educativo,No especificado,No especificado,27,Crédito,246097.0
Crédito Continuidad,Diversas,2021,Huánuco,Diversas,Crédito Educativo,No especificado,No especificado,27,Crédito,174933.0
Crédito Continuidad,Diversas,2021,Amazonas,Diversas,Crédito Educativo,No especificado,No especificado,22,Crédito,120566.0
Crédito Continuidad,Diversas,2021,Tumbes,Diversas,Crédito Educativo,No especificado,No especificado,19,Crédito,83996.0
Crédito Continuidad,Diversas,2021,Loreto,Diversas,Crédito Educativo,No especificado,No especificado,15,Crédito,49306.0
Crédito Continuidad,Diversas,2021,Huancavelica,Diversas,Crédito Educativo,No especificado,No especificado,11,Crédito,63142.0
Crédito Continuidad,Diversas,2021,Ucayali,Diversas,Crédito Educativo,No especificado,No especificado,11,Crédito,69443.0
Crédito Continuidad,Diversas,2021,Madre de Dios,Diversas,Crédito Educativo,No especificado,No especificado,10,Crédito,40791.0
Crédito Continuidad,Diversas,2021,Moquegua,Diversas,Crédito Educativo,No especificado,No especificado,8,Crédito,43612.0
Crédito Continuidad,Diversas,2021,Pasco,Diversas,Crédito Educativo,No especificado,No especificado,5,Crédito,26159.0
Crédito Continuidad,Diversas,2021,Total,Diversas,Crédito Educativo,No especificado,No especificado,2369,Crédito,18823891.0
